type,name,address,original_id,decision,course_type,hole_count,note
excluded_restore,골프존카운티 안성W,경기도 안성시 양성면 교동길 19-70,,restore_as_golf_course,대중제,18,excluded(골프존)에서 import 복귀
excluded_restore,골프존카운티 사천,사천시 서포면 구송로 151,,restore_as_golf_course,대중제,27,excluded(골프존)에서 import 복귀
excluded_restore,밀양에스파크골프리조트,밀양시 단장면 미촌리 889,,restore_as_golf_course,대중제,18,excluded(파크골프)에서 import 복귀
excluded_restore,골프존카운티 경남,함안군 칠원면 운무로 470,,restore_as_golf_course,대중제,18,excluded(골프존)에서 import 복귀
excluded_restore,골프존카운티 감포,경상북도 경주시 감포읍 동해안로 1819-59,,restore_as_golf_course,대중제,18,excluded(골프존)에서 import 복귀
excluded_restore,골프존카운티 선산,경상북도 구미시 산동면 강동로 953-73,,restore_as_golf_course,회원제,18,excluded(골프존)에서 import 복귀
excluded_restore,골프존카운티 구미,경상북도 구미시 산동면 강동로 953-74,,restore_as_golf_course,대중제,18,excluded(골프존)에서 import 복귀
excluded_restore,청통골프장,경상북도 영천시 청통면 청통로 733,,restore_as_golf_course,대중제,18,excluded(골프존)에서 import 복귀
excluded_restore,마이다스 구미 골프아카데미,경상북도 칠곡군 가산면 학하2길 54-171,,restore_as_golf_course,대중제,9,excluded(아카데미)에서 import 복귀
excluded_restore,잭 니클라우스 골프클럽 코리아,인천시 연수구 아카데미로 209,,restore_as_golf_course,회원제,18,excluded(아카데미)에서 import 복귀
excluded_restore,드림파크골프장,인천시 서구 거월로 61,,restore_as_golf_course,대중제,36,excluded(파크골프)에서 import 복귀
excluded_restore,골프존카운티 송도 골프장,인천시 연수구 인천신항대로 1120,,restore_as_golf_course,대중제,18,excluded(골프존)에서 import 복귀
excluded_restore,여수시티파크골프&호텔,전남 여수시 좌수영로 641,,restore_as_golf_course,대중제,18,excluded(파크골프)에서 import 복귀
excluded_restore,골프존카운티,전남 순천시 주암면 행정1길 77,,restore_as_golf_course,대중제,36,excluded(골프존)에서 import 복귀
excluded_restore,골프존카운티 영암,영암군 삼호읍 에프원로 121-1,,restore_as_golf_course,대중제,45,excluded(골프존)에서 import 복귀
excluded_restore,골프존 카운티 드래곤,전북특별자치도 남원시 대산면 대사로 498,,restore_as_golf_course,대중제,18,excluded(골프존)에서 import 복귀
excluded_restore,골프존 카운티 드래곤,전북특별자치도 남원시 대산면 대사로 498,,restore_as_golf_course,대중제,9,excluded(골프존)에서 import 복귀
excluded_restore,골프존카운티무주,전북특별자치도 무주군 안성면 장무로 1537-21,,restore_as_golf_course,대중제,18,excluded(골프존)에서 import 복귀
excluded_restore,골프존카운티선운,전북특별자치도 고창군 아산면 운곡로 418,,restore_as_golf_course,대중제,18,excluded(골프존)에서 import 복귀
excluded_restore,골프존카운티오라,제주특별자치도 제주시 오라남로 130-16,,restore_as_golf_course,회원제,18,excluded(골프존)에서 import 복귀
excluded_restore,골프존카운티오라,제주특별자치도 제주시 오라남로 130-16,,restore_as_golf_course,대중제,18,excluded(골프존)에서 import 복귀
excluded_restore,골프존카운티 천안,병천면 매성2길 103,,restore_as_golf_course,대중제,18,excluded(골프존)에서 import 복귀
excluded_restore,골프존카운티 진천cc,진천군 진천읍 송강로 783-51,,restore_as_golf_course,대중제,27,excluded(골프존)에서 import 복귀
excluded_restore,골프존카운티 화랑cc,진천군 문백면 농다리로 809,,restore_as_golf_course,대중제,18,excluded(골프존)에서 import 복귀
ambiguous_duplicate,골프존 카운티 드래곤,전북특별자치도 남원시 대산면 대사로 498,gc-01762fe809b0|gc-01762fe809b0-2,merge_expanded_holes,대중제,27,"동일 course_type(대중제) — 홀수 18+9=27 병합; removed=gc-01762fe809b0(18홀), gc-01762fe809b0-2(9홀)"
ambiguous_duplicate,골프존카운티오라 (회원제),제주특별자치도 제주시 오라남로 130-16,gc-c1ec2cce38bb,keep_separate_membership_public,회원제,18,회원제/대중제 분리 — suffix 추가 후 각각 유지
ambiguous_duplicate,골프존카운티오라 (대중제),제주특별자치도 제주시 오라남로 130-16,gc-c1ec2cce38bb-2,keep_separate_membership_public,대중제,18,회원제/대중제 분리 — suffix 추가 후 각각 유지
manual_answer,블랙스톤제주,제주특별자치도 제주시 한창로 925-122,gc-74de2175f831|gc-74de2175f831-2,merge_expanded_holes,회원제,27,사용자 manual Q1 답변: 2(하나로 병합) — 18홀+9홀 회원제 → 27홀
manual_answer,스프링베일리조트,,,restore_as_golf_course,,,사용자 답변: 유지 — import 변경 없음
manual_answer,밀양에스파크골프리조트,,,restore_as_golf_course,,,사용자 답변: 유지 — import 변경 없음
manual_answer,마이다스 구미 골프아카데미,,,restore_as_golf_course,,,사용자 답변: 유지 — import 변경 없음
manual_answer,잭 니클라우스 골프클럽 코리아,,,restore_as_golf_course,,,사용자 답변: 유지 — import 변경 없음
manual_answer,드림파크골프장,,,restore_as_golf_course,,,사용자 답변: 유지 — import 변경 없음
manual_answer,여수시티파크골프&호텔,,,restore_as_golf_course,,,사용자 답변: 유지 — import 변경 없음
