slug,title,output_path,type
gc-c8fc5eccf7b9,함평천지CC,public/seo-images/courses/gc-c8fc5eccf7b9.png,course
gc-606fb4b33249,올데이청주떼제베,public/seo-images/courses/gc-606fb4b33249.png,course
gc-97d5d758dc31,블랙스톤CC,public/seo-images/courses/gc-97d5d758dc31.png,course
gc-ce976348ba8f,아난티클럽제주(퍼블릭),public/seo-images/courses/gc-ce976348ba8f.png,course
gc-4d1cbdf3ceb2,롯데스카이힐제주CC,public/seo-images/courses/gc-4d1cbdf3ceb2.png,course
gc-ae299d74ffe4,여수시티파크리조트골프장,public/seo-images/courses/gc-ae299d74ffe4.png,course
gc-b768a2002431,메이플비치골프앤리조트 CC,public/seo-images/courses/gc-b768a2002431.png,course
gc-e6edfdd39527,오투리조트CC,public/seo-images/courses/gc-e6edfdd39527.png,course
gc-fac50b03683e,벨라45 컨트리클럽,public/seo-images/courses/gc-fac50b03683e.png,course
gc-11423b427515,용평리조트골프클럽,public/seo-images/courses/gc-11423b427515.png,course
gc-1e4b4a02117e,용평버치힐골프클럽,public/seo-images/courses/gc-1e4b4a02117e.png,course
gc-07cd3007c683,용평리조트대중골프장,public/seo-images/courses/gc-07cd3007c683.png,course
gc-4af8a2f8ed32,플라자CC 용인,public/seo-images/courses/gc-4af8a2f8ed32.png,course
gc-9da6f2a0f2d9,태광CC(회원제),public/seo-images/courses/gc-9da6f2a0f2d9.png,course
gc-3d63d3179c0f,태광CC(퍼블릭),public/seo-images/courses/gc-3d63d3179c0f.png,course
gc-0f218a599984,88CC,public/seo-images/courses/gc-0f218a599984.png,course
gc-588d348bc962,레이크사이드CC(회원제),public/seo-images/courses/gc-588d348bc962.png,course
gc-2ef4e18d677b,블루원용인CC(퍼블릭),public/seo-images/courses/gc-2ef4e18d677b.png,course
gc-4487ee52808c,코리아퍼블릭CC,public/seo-images/courses/gc-4487ee52808c.png,course
gc-4687a4044d34,지산퍼블릭,public/seo-images/courses/gc-4687a4044d34.png,course
gc-8fbc2ee961a0,고양컨트리클럽,public/seo-images/courses/gc-8fbc2ee961a0.png,course
gc-a80360466b97,123골프클럽,public/seo-images/courses/gc-a80360466b97.png,course
gc-ccb45b4f27e1,발리오스CC(회원제),public/seo-images/courses/gc-ccb45b4f27e1.png,course
gc-2db2d6cad688,"발리오스CC(퍼블릭, 남코스)",public/seo-images/courses/gc-2db2d6cad688.png,course
gc-4905c6ca9b75,화성상록GC,public/seo-images/courses/gc-4905c6ca9b75.png,course
gc-73a2a3982c35,한림광릉CC(회원제),public/seo-images/courses/gc-73a2a3982c35.png,course
gc-66517960c8f8,한림광릉CC(퍼블릭),public/seo-images/courses/gc-66517960c8f8.png,course
gc-63e74643a178,더헤븐CC,public/seo-images/courses/gc-63e74643a178.png,course
gc-81becbdb274e,파주제이퍼블릭골프클럽,public/seo-images/courses/gc-81becbdb274e.png,course
gc-34f4d067cfc2,원더클럽 파주CC,public/seo-images/courses/gc-34f4d067cfc2.png,course
gc-9eb46dae9c9d,타이거CC,public/seo-images/courses/gc-9eb46dae9c9d.png,course
gc-f2cf5d51eba9,레이크우드CC(회원제),public/seo-images/courses/gc-f2cf5d51eba9.png,course
gc-310ce4be2e54,레이크우드CC(퍼블릭),public/seo-images/courses/gc-310ce4be2e54.png,course
gc-2f2cc6b9afe3,비에이비스타CC(퍼블릭),public/seo-images/courses/gc-2f2cc6b9afe3.png,course
gc-06bb9165507c,사우스스프링스CC,public/seo-images/courses/gc-06bb9165507c.png,course
gc-014659dabae9,블랙스톤CC,public/seo-images/courses/gc-014659dabae9.png,course
gc-403c1dbe574a,이천실크밸리GC,public/seo-images/courses/gc-403c1dbe574a.png,course
gc-fde386e28664,마이다스레이크 이천 골프앤리조트,public/seo-images/courses/gc-fde386e28664.png,course
gc-cd449267e87f,파인크리크CC,public/seo-images/courses/gc-cd449267e87f.png,course
gc-adc16ee54b54,안성CC,public/seo-images/courses/gc-adc16ee54b54.png,course
gc-4884a38f1896,포천아도니스CC,public/seo-images/courses/gc-4884a38f1896.png,course
gc-e2614722e86e,포천아도니스CC 퍼블릭,public/seo-images/courses/gc-e2614722e86e.png,course
gc-1914b4243487,몽베르CC(회원제),public/seo-images/courses/gc-1914b4243487.png,course
gc-d569726d2503,일동레이크GC,public/seo-images/courses/gc-d569726d2503.png,course
gc-51bfec26aa96,자유CC,public/seo-images/courses/gc-51bfec26aa96.png,course
gc-61ba4f976442,렉스필드CC(회원제),public/seo-images/courses/gc-61ba4f976442.png,course
gc-657d8f5d1426,렉스필드CC(퍼블릭),public/seo-images/courses/gc-657d8f5d1426.png,course
gc-ddb3947686d1,스카이밸리CC(회원제),public/seo-images/courses/gc-ddb3947686d1.png,course
gc-2cf253808f7a,캐슬파인GC,public/seo-images/courses/gc-2cf253808f7a.png,course
gc-d14f87b6bb30,썬힐GC,public/seo-images/courses/gc-d14f87b6bb30.png,course
gc-aa2c41b33610,아난티클럽서울,public/seo-images/courses/gc-aa2c41b33610.png,course
gc-a8d0095f2145,가평 베네스트GC,public/seo-images/courses/gc-a8d0095f2145.png,course
gc-8503021b2f0d,리앤리CC,public/seo-images/courses/gc-8503021b2f0d.png,course
gc-68d69c3be5e4,골프존카운티 이든,public/seo-images/courses/gc-68d69c3be5e4.png,course
gc-60336c4fc30b,노벨컨트리클럽,public/seo-images/courses/gc-60336c4fc30b.png,course
gc-dd8a710bd41c,이스턴CC,public/seo-images/courses/gc-dd8a710bd41c.png,course
gc-4fc6d117b7f4,경주신라CC,public/seo-images/courses/gc-4fc6d117b7f4.png,course
gc-4826ba3e38b9,마우나오션CC,public/seo-images/courses/gc-4826ba3e38b9.png,course
gc-16c25d6f3f20,마우나오션CC,public/seo-images/courses/gc-16c25d6f3f20.png,course
gc-eb9124b06908,코오롱호텔 가든 골프장,public/seo-images/courses/gc-eb9124b06908.png,course
gc-881d18bae24f,강동디아너스CC,public/seo-images/courses/gc-881d18bae24f.png,course
gc-e67c48835b2a,선리치골프클럽,public/seo-images/courses/gc-e67c48835b2a.png,course
gc-d69bb1cfadc7,이스트힐컨트리클럽,public/seo-images/courses/gc-d69bb1cfadc7.png,course
gc-bd2c2f813e31,애플밸리CC,public/seo-images/courses/gc-bd2c2f813e31.png,course
gc-1e3e002ab2ce,김천포도CC,public/seo-images/courses/gc-1e3e002ab2ce.png,course
gc-8894492ab1a6,남안동CC,public/seo-images/courses/gc-8894492ab1a6.png,course
gc-ddc7e02567ba,구미CC,public/seo-images/courses/gc-ddc7e02567ba.png,course
gc-f7e7bf534d31,오션힐스 영천CC,public/seo-images/courses/gc-f7e7bf534d31.png,course
gc-206bb0d5628c,시엘GC,public/seo-images/courses/gc-206bb0d5628c.png,course
gc-77f7a5893fb0,문경GC,public/seo-images/courses/gc-77f7a5893fb0.png,course
gc-fe29a1584040,대구컨트리클럽,public/seo-images/courses/gc-fe29a1584040.png,course
gc-c781c317ede3,오션비치 골프앤리조트,public/seo-images/courses/gc-c781c317ede3.png,course
gc-911caf331754,그레이스CC,public/seo-images/courses/gc-911caf331754.png,course
gc-0665bc0c6cce,고령유니밸리CC,public/seo-images/courses/gc-0665bc0c6cce.png,course
gc-e2e76f635c4a,세븐밸리CC,public/seo-images/courses/gc-e2e76f635c4a.png,course
gc-bc41a2489944,칠곡아이위시CC,public/seo-images/courses/gc-bc41a2489944.png,course
gc-7b483fb0f2d1,이지스카이 골프클럽,public/seo-images/courses/gc-7b483fb0f2d1.png,course
gc-4906278997cc,사이언스대덕골프장,public/seo-images/courses/gc-4906278997cc.png,course
gc-de756338755f,해라CC,public/seo-images/courses/gc-de756338755f.png,course
gc-9407b216837c,골프존카운티 더골프,public/seo-images/courses/gc-9407b216837c.png,course
gc-349a94f1be3f,세이지우드CC 여수경도,public/seo-images/courses/gc-349a94f1be3f.png,course
gc-dcb20414b48e,나주CC,public/seo-images/courses/gc-dcb20414b48e.png,course
gc-050aa8bd6c6f,파인비치,public/seo-images/courses/gc-050aa8bd6c6f.png,course
gc-5085ddf672a6,코스모스링스(폐업),public/seo-images/courses/gc-5085ddf672a6.png,course
gc-3355d2573fd4,에콜리안영광CC,public/seo-images/courses/gc-3355d2573fd4.png,course
gc-667fefd06c3f,푸른솔GC 장성,public/seo-images/courses/gc-667fefd06c3f.png,course
gc-14ba1ad9ac28,군산CC,public/seo-images/courses/gc-14ba1ad9ac28.png,course
gc-7e17709a629a,익산컨트리클럽,public/seo-images/courses/gc-7e17709a629a.png,course
gc-236bf8a0310c,에스페란사GC,public/seo-images/courses/gc-236bf8a0310c.png,course
gc-6d34f609ed90,금과골프장,public/seo-images/courses/gc-6d34f609ed90.png,course
gc-fd40b7bf3b76,순창CC,public/seo-images/courses/gc-fd40b7bf3b76.png,course
gc-7d2ed71b8086,그린필드GC,public/seo-images/courses/gc-7d2ed71b8086.png,course
gc-7860808d29d1,테디밸리CC,public/seo-images/courses/gc-7860808d29d1.png,course
gc-cf50ab88350d,제주힐CC(폐업),public/seo-images/courses/gc-cf50ab88350d.png,course
gc-ad576aa399b4,아덴힐CC,public/seo-images/courses/gc-ad576aa399b4.png,course
gc-baa4851e3f89,플라자CC 제주,public/seo-images/courses/gc-baa4851e3f89.png,course
gc-2372496c2665,스프링데일CC,public/seo-images/courses/gc-2372496c2665.png,course
gc-af1917ce6948,샤인빌파크 컨트리클럽,public/seo-images/courses/gc-af1917ce6948.png,course
gc-46caa66a0c89,골드리버CC,public/seo-images/courses/gc-46caa66a0c89.png,course
gc-25f812ff383a,계룡산골프클럽,public/seo-images/courses/gc-25f812ff383a.png,course
gc-5df84bcc3bd5,플라밍고CC,public/seo-images/courses/gc-5df84bcc3bd5.png,course
gc-b21ce78f76ca,골든베이골프앤리조트,public/seo-images/courses/gc-b21ce78f76ca.png,course
gc-2abf3143e489,스톤비치컨트리클럽,public/seo-images/courses/gc-2abf3143e489.png,course
gc-d0e3ce523b5f,레인보우힐스CC,public/seo-images/courses/gc-d0e3ce523b5f.png,course
gc-c5f55ef01f20,로얄포레cc,public/seo-images/courses/gc-c5f55ef01f20.png,course
gc-ab79864b5bdf,모나크CC,public/seo-images/courses/gc-ab79864b5bdf.png,course
gc-5384133fb9bc,가야CC(회원제),public/seo-images/courses/gc-5384133fb9bc.png,course
gc-9bd0f98bfdee,가야CC(퍼블릭),public/seo-images/courses/gc-9bd0f98bfdee.png,course
gc-49a45667bbb1,힐마루CC(회원제),public/seo-images/courses/gc-49a45667bbb1.png,course
gc-1636db0b5c9f,오션힐스 포항CC(회원제),public/seo-images/courses/gc-1636db0b5c9f.png,course
gc-28ff72e3fac8,서라벌GC,public/seo-images/courses/gc-28ff72e3fac8.png,course
gc-783a937fe067,엠스클럽 의성 CC,public/seo-images/courses/gc-783a937fe067.png,course
gc-044a801a85d5,골드레이크CC (퍼블릭),public/seo-images/courses/gc-044a801a85d5.png,course
gc-990342c1d90c,골드레이크CC (회원제),public/seo-images/courses/gc-990342c1d90c.png,course
gc-660ffc0f1f8d,해피니스CC,public/seo-images/courses/gc-660ffc0f1f8d.png,course
gc-7c780d37c946,태인CC,public/seo-images/courses/gc-7c780d37c946.png,course
gc-48b0d3b9c2cb,엘리시안제주(퍼블릭),public/seo-images/courses/gc-48b0d3b9c2cb.png,course
gc-81f3ec25ee6f,에버리스GR(회원제),public/seo-images/courses/gc-81f3ec25ee6f.png,course
gc-404df8588434,아난티클럽제주(회원제),public/seo-images/courses/gc-404df8588434.png,course
gc-0654fd7fa764,캐슬렉스제주(회원제),public/seo-images/courses/gc-0654fd7fa764.png,course
gc-e51deb9a5cbf,해비치CC(회원제),public/seo-images/courses/gc-e51deb9a5cbf.png,course
gc-834f306ba4e2,롯데스카이힐제주CC(회원제),public/seo-images/courses/gc-834f306ba4e2.png,course
gc-85e4c645a34a,사이프러스 골프앤리조트(회원제),public/seo-images/courses/gc-85e4c645a34a.png,course
