id,name,region,city,address,latitude,longitude,phone,homepage_url,booking_url,hole_count,course_type,weekday_green_fee_min,weekend_green_fee_min,caddie_fee,cart_fee,night_round,no_caddie,two_player_allowed,resort,tags,image_url,description,business_status,source,updated_at,created_at
gc-3eb069c5fb2a,동서울레스피아,강원,원주시,원주시 지정면 신평석화로 236,37.4008288189658,127.879409601494,,,,9,대중제,,,,,false,false,false,false,{},,동서울레스피아은(는) 강원 지역의 대중제 골프장입니다.,,public_data,2026-06-18T01:00:04.006Z,2026-06-18T01:00:04.006Z
gc-cbe46e8a03a2,인터불고원주골프클럽,강원,원주시,원주시 동부순환로 200(반곡동),37.3324424690963,127.974460088067,,,,9,대중제,,,,,false,false,false,false,{},,인터불고원주골프클럽은(는) 강원 지역의 대중제 골프장입니다.,,public_data,2026-06-18T01:00:04.006Z,2026-06-18T01:00:04.006Z
gc-aca146079a3b,오로라 골프 앤 리조트,강원,원주시,원주시 신림면 구학산로 1520,37.2029107834726,128.043154645841,,,,18,대중제,,,,,false,false,false,false,{},,오로라 골프 앤 리조트은(는) 강원 지역의 대중제 골프장입니다.,,public_data,2026-06-18T01:00:04.006Z,2026-06-18T01:00:04.006Z
gc-076abf5ece38,샌드파인골프클럽,강원,강릉시,강릉시 저동등길 53(저동),37.7962246482484,128.881013850573,,,,18,회원제,,,,,false,false,false,false,{},,샌드파인골프클럽은(는) 강원 지역의 회원제 골프장입니다.,,public_data,2026-06-18T01:00:04.006Z,2026-06-18T01:00:04.006Z
gc-b768a2002431,메이플비치골프&리조트,강원,강릉시,강릉시 강동면 풍호길 300-78,37.746647824005,128.968989626277,,,,18,대중제,,,,,false,false,false,false,{},,메이플비치골프&리조트은(는) 강원 지역의 대중제 골프장입니다.,,public_data,2026-06-18T01:00:04.006Z,2026-06-18T01:00:04.006Z
gc-5b16502994d3,O2리조트 골프장,강원,태백시,태백시 서학로 861,37.1706733779187,128.948085384031,,,,18,대중제,,,,,false,false,false,false,{},,O2리조트 골프장은(는) 강원 지역의 대중제 골프장입니다.,,public_data,2026-06-18T01:00:04.006Z,2026-06-18T01:00:04.006Z
gc-e6edfdd39527,O2리조트 퍼블릭골프장,강원,태백시,태백시 서학로 861,37.1706733779187,128.948085384031,,,,9,대중제,,,,,false,false,false,false,{},,O2리조트 퍼블릭골프장은(는) 강원 지역의 대중제 골프장입니다.,,public_data,2026-06-18T01:00:04.006Z,2026-06-18T01:00:04.006Z
gc-716535d8799a,설악프라자컨트리클럽,강원,속초시,속초시 미시령로2983번길 56-20,38.2082572330671,128.53083474954,,,,18,회원제,,,,,false,false,false,false,{},,설악프라자컨트리클럽은(는) 강원 지역의 회원제 골프장입니다.,,public_data,2026-06-18T01:00:04.006Z,2026-06-18T01:00:04.006Z
gc-d4f47a219511,영랑호컨트리클럽,강원,속초시,속초시 영랑호반길 170,38.2135488364885,128.577407452379,,,,9,대중제,,,,,false,false,false,false,{},,영랑호컨트리클럽은(는) 강원 지역의 대중제 골프장입니다.,,public_data,2026-06-18T01:00:04.006Z,2026-06-18T01:00:04.006Z
gc-5d96ff075544,파인밸리컨트리클럽,강원,삼척시,삼척시 근덕면 미근로 1629,37.3765019984105,129.204773468152,,,,18,대중제,,,,,false,false,false,false,{},,파인밸리컨트리클럽은(는) 강원 지역의 대중제 골프장입니다.,,public_data,2026-06-18T01:00:04.006Z,2026-06-18T01:00:04.006Z
gc-788ff880fb4f,블랙밸리컨트리클럽,강원,삼척시,삼척시 도계읍 도상로 307-84,37.2181825168724,129.07343341363,,,,18,대중제,,,,,false,false,false,false,{},,블랙밸리컨트리클럽은(는) 강원 지역의 대중제 골프장입니다.,,public_data,2026-06-18T01:00:04.006Z,2026-06-18T01:00:04.006Z
gc-e9127c84ddf1,소노펠리체 컨트리클럽 비발디파크 웨스트,강원,홍천군,홍천군 서면 한치골길 200,37.6386558071944,127.673647946883,,,,18,대중제,,,,,false,false,false,false,{},,소노펠리체 컨트리클럽 비발디파크 웨스트은(는) 강원 지역의 대중제 골프장입니다.,,public_data,2026-06-18T01:00:04.006Z,2026-06-18T01:00:04.006Z
gc-56adaea8c265,소노펠리체 컨트리클럽 비발디파크 마운틴,강원,홍천군,홍천군 서면 한치골길 264,37.6482244968436,127.685789397041,,,,9,대중제,,,,,false,false,false,false,{},,소노펠리체 컨트리클럽 비발디파크 마운틴은(는) 강원 지역의 대중제 골프장입니다.,,public_data,2026-06-18T01:00:04.006Z,2026-06-18T01:00:04.006Z
gc-ae905ec6b25f,소노펠리체 컨트리클럽 비발디파크 이스트,강원,홍천군,홍천군 서면 한치골길 541-123,37.666999762252,127.686354618555,,,,18,대중제,,,,,false,false,false,false,{},,소노펠리체 컨트리클럽 비발디파크 이스트은(는) 강원 지역의 대중제 골프장입니다.,,public_data,2026-06-18T01:00:04.006Z,2026-06-18T01:00:04.006Z
gc-3447dbe87ddc,비콘힐스골프클럽,강원,홍천군,홍천군 홍천읍 높은터로 533,37.6283077469114,127.864179453774,,,,18,대중제,,,,,false,false,false,false,{},,비콘힐스골프클럽은(는) 강원 지역의 대중제 골프장입니다.,,public_data,2026-06-18T01:00:04.006Z,2026-06-18T01:00:04.006Z
gc-d7beeda963dd,힐드로사이컨트리클럽,강원,홍천군,홍천군 남면 한서로 2840,37.5960686856879,127.717710032456,,,,18,대중제,,,,,false,false,false,false,{},,힐드로사이컨트리클럽은(는) 강원 지역의 대중제 골프장입니다.,,public_data,2026-06-18T01:00:04.006Z,2026-06-18T01:00:04.006Z
gc-426fc575906a,클럽모우골프 &라이프스타일,강원,홍천군,홍천군 서면 장락동길 111,37.6923845644555,127.566832092226,,,,27,대중제,,,,,false,false,false,false,{},,클럽모우골프 &라이프스타일은(는) 강원 지역의 대중제 골프장입니다.,,public_data,2026-06-18T01:00:04.006Z,2026-06-18T01:00:04.006Z
gc-8322ca96ec3b,세이지우드CC홍천,강원,홍천군,홍천군 두촌면 광석로 898-160,37.8860055264791,128.118713519224,,,,27,대중제,,,,,false,false,false,false,{},,세이지우드CC홍천은(는) 강원 지역의 대중제 골프장입니다.,,public_data,2026-06-18T01:00:04.006Z,2026-06-18T01:00:04.006Z
gc-690b34d2b582,샤인데일골프&리조트,강원,홍천군,홍천군 서면 한서로 247-156,37.6680275187538,127.558889051236,,,,27,대중제,,,,,false,false,false,false,{},,샤인데일골프&리조트은(는) 강원 지역의 대중제 골프장입니다.,,public_data,2026-06-18T01:00:04.006Z,2026-06-18T01:00:04.006Z
gc-568fcaa60a5e,카스카디아 골프클럽,강원,홍천군,홍천군 북방면 팔봉산로 1759,37.7251226642374,127.744259757592,,,,27,대중제,,,,,false,false,false,false,{},,카스카디아 골프클럽은(는) 강원 지역의 대중제 골프장입니다.,,public_data,2026-06-18T01:00:04.006Z,2026-06-18T01:00:04.006Z
gc-bbf51fd6cc91,웰리힐리컨트리클럽,강원,횡성군,횡성군 둔내면 고원로 451,37.4901264775059,128.250138360949,,,,36,회원제,,,,,false,false,false,false,{},,웰리힐리컨트리클럽은(는) 강원 지역의 회원제 골프장입니다.,,public_data,2026-06-18T01:00:04.006Z,2026-06-18T01:00:04.006Z
gc-ec8024eb7955,웰리힐리퍼블릭,강원,횡성군,횡성군 둔내면 고원로 451,37.4901264775059,128.250138360949,,,,10,대중제,,,,,false,false,false,false,{},,웰리힐리퍼블릭은(는) 강원 지역의 대중제 골프장입니다.,,public_data,2026-06-18T01:00:04.006Z,2026-06-18T01:00:04.006Z
gc-e494f9e1ff69,동원썬밸리컨트리클럽,강원,횡성군,횡성군 서원면 서원서로339번길 90,37.4840310259039,127.796494720937,,,,18,대중제,,,,,false,false,false,false,{},,동원썬밸리컨트리클럽은(는) 강원 지역의 대중제 골프장입니다.,,public_data,2026-06-18T01:00:04.006Z,2026-06-18T01:00:04.006Z
gc-17aba5f4eb83,알프스대영컨트리클럽,강원,횡성군,횡성군 우천면 한우로 1295,37.4642253472193,128.072535937277,,,,18,대중제,,,,,false,false,false,false,{},,알프스대영컨트리클럽은(는) 강원 지역의 대중제 골프장입니다.,,public_data,2026-06-18T01:00:04.006Z,2026-06-18T01:00:04.006Z
gc-43114c6913bc,벨라스톤컨트리클럽,강원,횡성군,횡성군 서원면 옥계9길 124,37.4503213484851,127.831193513791,,,,18,대중제,,,,,false,false,false,false,{},,벨라스톤컨트리클럽은(는) 강원 지역의 대중제 골프장입니다.,,public_data,2026-06-18T01:00:04.006Z,2026-06-18T01:00:04.006Z
gc-535182f1f0fa,올데이 옥스필드,강원,횡성군,횡성군 서원면 경강로 유현6길 28,37.5237776486479,127.842012139714,,,,18,대중제,,,,,false,false,false,false,{},,올데이 옥스필드은(는) 강원 지역의 대중제 골프장입니다.,,public_data,2026-06-18T01:00:04.006Z,2026-06-18T01:00:04.006Z
gc-fac50b03683e,벨라45 오너스 컨트리클럽,강원,횡성군,횡성군 서원면 창촌리 산132,37.471476509974,127.859579718745,,,,18,회원제,,,,,false,false,false,false,{},,벨라45 오너스 컨트리클럽은(는) 강원 지역의 회원제 골프장입니다.,,public_data,2026-06-18T01:00:04.006Z,2026-06-18T01:00:04.006Z
gc-a09581c58781,벨라45마스터스 컨트리클럽,강원,횡성군,횡성군 서원면 창촌리 산124,37.4717174711798,127.866076608968,,,,27,대중제,,,,,false,false,false,false,{},,벨라45마스터스 컨트리클럽은(는) 강원 지역의 대중제 골프장입니다.,,public_data,2026-06-18T01:00:04.006Z,2026-06-18T01:00:04.006Z
gc-908385d35939,동강시스타 골프장,강원,영월군,영월군 영월읍 사지막길 160,37.2177943871239,128.51873186171,,,,18,대중제,,,,,false,false,false,false,{},,동강시스타 골프장은(는) 강원 지역의 대중제 골프장입니다.,,public_data,2026-06-18T01:00:04.006Z,2026-06-18T01:00:04.006Z
gc-11423b427515,용평리조트골프클럽,강원,평창군,평창군 대관령면 올림픽로 715,37.6509448898618,128.705556644413,,,,18,회원제,,,,,false,false,false,false,{},,용평리조트골프클럽은(는) 강원 지역의 회원제 골프장입니다.,,public_data,2026-06-18T01:00:04.006Z,2026-06-18T01:00:04.006Z
gc-1e4b4a02117e,용평버치힐골프클럽,강원,평창군,평창군 대관령면 올림픽로 715,37.6509448898618,128.705556644413,,,,18,회원제,,,,,false,false,false,false,{},,용평버치힐골프클럽은(는) 강원 지역의 회원제 골프장입니다.,,public_data,2026-06-18T01:00:04.006Z,2026-06-18T01:00:04.006Z
gc-07cd3007c683,용평리조트대중골프장,강원,평창군,평창군 대관령면 올림픽로 715,37.6509448898618,128.705556644413,,,,9,대중제,,,,,false,false,false,false,{},,용평리조트대중골프장은(는) 강원 지역의 대중제 골프장입니다.,,public_data,2026-06-18T01:00:04.006Z,2026-06-18T01:00:04.006Z
gc-98e23645d4c7,휘닉스 컨트리클럽,강원,평창군,강원특별자치도 평창군 봉평면 면온리 1018-2,37.589263238945314,128.33557675866044,,,,18,회원제,,,,,false,false,false,false,{},,휘닉스 컨트리클럽은(는) 강원 지역의 회원제 골프장입니다.,,public_data,2026-06-18T01:00:04.006Z,2026-06-18T01:00:04.006Z
gc-716264430902,태기산 나인CC,강원,평창군,강원특별자치도 평창군 봉평면 태기로 174,37.5825421416807,128.326740667555,,,,9,대중제,,,,,false,false,false,false,{},,태기산 나인CC은(는) 강원 지역의 대중제 골프장입니다.,,public_data,2026-06-18T01:00:04.006Z,2026-06-18T01:00:04.006Z
gc-2b5762bfc60c,알펜시아컨트리클럽,강원,평창군,평창군 대관령면 솔봉로 325,37.6592541743687,128.684010667163,,,,27,회원제,,,,,false,false,false,false,{},,알펜시아컨트리클럽은(는) 강원 지역의 회원제 골프장입니다.,,public_data,2026-06-18T01:00:04.006Z,2026-06-18T01:00:04.006Z
gc-88fd5807de80,알펜시아 700골프클럽,강원,평창군,평창군 대관령면 솔봉로 325,37.6592541743687,128.684010667163,,,,18,대중제,,,,,false,false,false,false,{},,알펜시아 700골프클럽은(는) 강원 지역의 대중제 골프장입니다.,,public_data,2026-06-18T01:00:04.006Z,2026-06-18T01:00:04.006Z
gc-658a43bb77b8,하이원컨트리클럽,강원,정선군,정선군 고한읍 고한7길 399,37.1742297977261,128.842570754473,,,,18,대중제,,,,,false,false,false,false,{},,하이원컨트리클럽은(는) 강원 지역의 대중제 골프장입니다.,,public_data,2026-06-18T01:00:04.006Z,2026-06-18T01:00:04.006Z
gc-c97aebfdffe3,에콜리안정선골프장,강원,정선군,정선군 신동읍 새골길 112-49,37.2221149999408,128.679457715709,,,,9,대중제,,,,,false,false,false,false,{},,에콜리안정선골프장은(는) 강원 지역의 대중제 골프장입니다.,,public_data,2026-06-18T01:00:04.006Z,2026-06-18T01:00:04.006Z
gc-57059262e040,한탄강컨트리클럽,강원,철원군,철원군 갈말읍 순담길 59,38.1709445946776,127.293555015694,,,,18,대중제,,,,,false,false,false,false,{},,한탄강컨트리클럽은(는) 강원 지역의 대중제 골프장입니다.,,public_data,2026-06-18T01:00:04.006Z,2026-06-18T01:00:04.006Z
gc-af74a0cb154f,설악썬밸리컨트리클럽,강원,고성군,고성군 죽왕면 순포로 188,38.3161744774221,128.511503806851,,,,27,대중제,,,,,false,false,false,false,{},,설악썬밸리컨트리클럽은(는) 강원 지역의 대중제 골프장입니다.,,public_data,2026-06-18T01:00:04.006Z,2026-06-18T01:00:04.006Z
gc-da4ac7ff9f91,소노펠리체 컨트리클럽 델피노,강원,고성군,고성군 토성면 미시령옛길 1153,38.2131162786595,128.493440366843,,,,18,대중제,,,,,false,false,false,false,{},,소노펠리체 컨트리클럽 델피노은(는) 강원 지역의 대중제 골프장입니다.,,public_data,2026-06-18T01:00:04.006Z,2026-06-18T01:00:04.006Z
