row_index,id,name,change_name_to,primary_search_term,fallback_search_term,existing_price_min,existing_price_max,will_crawl,reason
512,gc-fb0d61e3914d,베어크리크골프클럽,베어크리크 골프클럽,베어크리크,베어크리크골프클럽,140000,250000,yes,included_in_csv_row_order_even_with_existing_price
513,gc-825e9c261de2,참밸리 컨트리클럽,코브스윙(참밸리CC),코브스윙(참밸리CC),참밸리 컨트리클럽,100000,200000,yes,included_in_csv_row_order_even_with_existing_price
514,gc-a15f33b9f89a,더스타휴 컨트리클럽,더스타휴골프앤리조트,더스타휴골프앤,더스타휴 컨트리클럽,250000,320000,yes,included_in_csv_row_order_even_with_existing_price
515,gc-59ee5f28d2c8,남여주대중골프장,남여주GC,남여주,남여주대중골프장,90000,200000,yes,included_in_csv_row_order_even_with_existing_price
516,gc-d18fa63ecde3,통영동원로얄컨트리클럽,동원로얄CC,동원로얄,통영동원로얄컨트리클럽,80000,170000,yes,included_in_csv_row_order_even_with_existing_price
517,gc-49239d9192d1,김해상록컨트리클럽,김해상록골프클럽,김해상록,김해상록컨트리클럽,130000,170000,yes,included_in_csv_row_order_even_with_existing_price
518,gc-9c3aa425a935,포항C.C,포항CC,포항,포항C.C,90000,160000,yes,included_in_csv_row_order_even_with_existing_price
519,gc-dac303292dae,오펠G.C,영천오펠GC,영천오펠,오펠G.C,,,yes,included_in_csv_row_order
520,gc-91f353d46004,블루원상주골프리조트,블루원 상주CC,블루원 상주,블루원상주골프리조트,120000,210000,yes,included_in_csv_row_order_even_with_existing_price
521,gc-385ee578118d,다산 샤인힐CC,고령오펠GC,고령오펠,다산 샤인힐CC,170000,200000,yes,included_in_csv_row_order_even_with_existing_price
522,gc-a1c00071e4b8,한맥C.C&노블리아,한맥컨트리클럽,한맥,한맥C.C&노블리아,80000,170000,yes,included_in_csv_row_order_even_with_existing_price
523,gc-a9d6992e56d4,해운대비치골프앤리조트,해운대비치골프앤리조트,해운대비치골프앤,해운대비치골프앤리조트,102000,228000,yes,included_in_csv_row_order_even_with_existing_price
524,gc-dc3aed15fe4c,건설공제조합세종필드골프클럽,세종필드GC,세종필드,건설공제조합세종필드골프클럽,120000,210000,yes,included_in_csv_row_order_even_with_existing_price
525,gc-8c92f9985671,삼남골프장,골드그린GC,골드그린,삼남골프장,60000,110000,yes,included_in_csv_row_order_even_with_existing_price
526,gc-45a6c468cd91,웅포컨트리클럽,,웅포,웅포컨트리클럽,80000,180000,yes,included_in_csv_row_order_even_with_existing_price
527,gc-0bd7dd5c03df,케이밸리컨트리클럽,케이밸리CC,케이밸리,케이밸리컨트리클럽,,,yes,included_in_csv_row_order
528,gc-9655898af6a6,프린세스 골프클럽,포웰CC프린세스,포웰CC프린세스,프린세스 골프클럽,70000,175000,yes,included_in_csv_row_order_even_with_existing_price
529,gc-e91593f65b4b,도고컨트리 구락부,도고CC,도고,도고컨트리 구락부,,,yes,included_in_csv_row_order
530,gc-ae86fbe36e97,임페리얼레이크,임페리얼레이크CC,임페리얼레이크,임페리얼레이크,59000,149000,yes,included_in_csv_row_order_even_with_existing_price
531,gc-3d728357d622,에콜리안제천,에콜리안제천CC,에콜리안제천,에콜리안제천,,,yes,included_in_csv_row_order
532,gc-fa86c43067e7,드림파크골프장,드림파크CC,드림파크,드림파크골프장,,,yes,included_in_csv_row_order
