row_index,id,name,change_name_to,primary_search_term,fallback_search_term,used_search_term,matched_title,candidate_region,candidate_subregion,match_status,review_reason,suggested_change_name_to,screenshot_path,collected_at
512,gc-fb0d61e3914d,베어크리크 골프클럽,베어크리크 골프클럽,베어크리크,베어크리크골프클럽,베어크리크골프클럽,,,,,,,,2026-06-28T08:54:49.015Z
513,gc-825e9c261de2,코브스윙(참밸리CC),코브스윙(참밸리CC),코브스윙(참밸리CC),참밸리 컨트리클럽,참밸리 컨트리클럽,,,,,,,,2026-06-28T08:58:29.506Z
514,gc-a15f33b9f89a,더스타휴골프앤리조트,더스타휴골프앤리조트,더스타휴골프앤,더스타휴 컨트리클럽,더스타휴 컨트리클럽,,,,,,,,2026-06-28T09:02:13.815Z
517,gc-49239d9192d1,김해상록골프클럽,김해상록골프클럽,김해상록,김해상록컨트리클럽,김해상록컨트리클럽,,,,,,,,2026-06-28T09:14:41.067Z
520,gc-91f353d46004,블루원 상주CC,블루원 상주CC,블루원 상주,블루원상주골프리조트,블루원상주골프리조트,,,,,,,,2026-06-28T09:27:16.224Z
523,gc-a9d6992e56d4,해운대비치골프앤리조트,해운대비치골프앤리조트,해운대비치골프앤,해운대비치골프앤리조트,해운대비치골프앤리조트,,,,,,,,2026-06-28T09:39:38.576Z
524,gc-dc3aed15fe4c,세종필드GC,세종필드GC,세종필드,건설공제조합세종필드골프클럽,건설공제조합세종필드골프클럽,,,,,,,,2026-06-28T09:43:19.642Z
525,gc-8c92f9985671,골드그린GC,골드그린GC,골드그린,삼남골프장,삼남골프장,,,,,,,,2026-06-28T09:46:57.493Z
527,gc-0bd7dd5c03df,케이밸리CC,케이밸리CC,케이밸리,케이밸리컨트리클럽,케이밸리컨트리클럽,,,,,,,,2026-06-28T09:54:54.224Z
528,gc-9655898af6a6,포웰CC프린세스,포웰CC프린세스,포웰CC프린세스,프린세스 골프클럽,프린세스 골프클럽,,,,,,,,2026-06-28T09:58:35.260Z
529,gc-e91593f65b4b,도고CC,도고CC,도고,도고컨트리 구락부,도고컨트리 구락부,,,,,,,,2026-06-28T10:02:18.482Z
531,gc-3d728357d622,에콜리안제천CC,에콜리안제천CC,에콜리안제천,에콜리안제천,에콜리안제천,,,,,,,,2026-06-28T10:09:54.930Z
