source_row_index,id,name,change_name_to,primary_search_term,fallback_search_term,used_search_term,search_attempt,matched_title,candidate_title,candidate_region,candidate_subregion,candidate_type,match_status,review_action,review_reason,suggested_change_name_to,weekday_sample_count,weekend_sample_count,weekday_price_min,weekday_price_max,weekend_price_min,weekend_price_max,price_min,price_max,overall_price_min,overall_price_max,success_day_count,no_price_day_count,manual_review_count,accept_price_day_count,price_scope,price_scope_summary,slot_load_complete,matched_region,source_name,last_collected_at,collected_at,detail_url
2,gc-1f14d0ca89b4,가산CC,가산CC,가산,가산CC,가산,primary,가산(P)(구,가산(P)(구,경상북부,칠곡,,ambiguous,manual_review,ambiguous_match,,1,0,,,,,,,,,0,1,1,0,,,,경상북부 > 칠곡,teescanner,2026-06-25T01:54:16.411Z,2026-06-25T01:54:16.411Z,
,gc-8fbc2ee961a0,고양컨트리클럽,,,,,,,,,,,,manual_review,,,1,1,,,,,,,,,0,2,2,0,,,,,teescanner,,,
,gc-63e74643a178,더헤븐CC,,,,,,,,,,,,manual_review,,,1,1,169200,225600,,,169200,225600,169200,225600,1,1,1,1,loaded_slots,loaded_slots,complete,,teescanner,,,
,gc-e684f84c8fa4,레이크사이드CC(퍼블릭),,,,,,,,,,,,accept_price,,,1,1,199000,240000,259000,300000,199000,300000,199000,300000,2,0,0,2,complete_day_slots,complete_day_slots,complete,,teescanner,,,https://www.teescanner.com/booking/detail?tab=teetime&golfclub_seq=244&roundDay=2026-06-27&entry_path=SC
,gc-310ce4be2e54,레이크우드CC(퍼블릭),,,,,,,,,,,,manual_review,,,2,0,,,,,,,,,0,2,2,0,,,,,teescanner,,,
,gc-657d8f5d1426,렉스필드CC(퍼블릭),,,,,,,,,,,,manual_review,,,2,0,,,,,,,,,0,2,2,0,,,,,teescanner,,,
,gc-61ba4f976442,렉스필드CC(회원제),,,,,,,,,,,,manual_review,,,2,0,,,,,,,,,0,2,2,0,,,,,teescanner,,,
,gc-8503021b2f0d,리앤리CC,,,,,,,,,,,,manual_review,,,1,1,130000,170000,220000,240000,130000,240000,130000,240000,2,0,2,0,complete_day_slots,complete_day_slots,complete,,teescanner,,,https://www.teescanner.com/booking/detail?tab=teetime&golfclub_seq=449&roundDay=2026-06-29&entry_path=SC
,gc-fde386e28664,마이다스레이크 이천 골프앤리조트,,,,,,,,,,,,manual_review,,,2,0,,,,,,,,,0,2,2,0,,,,,teescanner,,,
,gc-1914b4243487,몽베르CC(회원제),,,,,,,,,,,,accept_price,,,1,1,110000,170000,190000,220000,110000,220000,110000,220000,2,0,0,2,complete_day_slots,complete_day_slots,complete,,teescanner,,,https://www.teescanner.com/booking/detail?tab=teetime&golfclub_seq=229&roundDay=2026-06-29&entry_path=SC
,gc-014659dabae9,블랙스톤CC,,,,,,,,,,,,manual_review,,,2,0,,,,,,,,,0,2,2,0,,,,,teescanner,,,
,gc-07b4c0178c39,블루헤런GC,,,,,,,,,,,,accept_price,,,1,1,150000,180000,240000,250000,150000,250000,150000,250000,2,0,0,2,complete_day_slots,complete_day_slots,complete,,teescanner,,,https://www.teescanner.com/booking/detail?tab=teetime&golfclub_seq=207&roundDay=2026-06-27&entry_path=SC
,gc-2f2cc6b9afe3,비에이비스타CC(퍼블릭),,,,,,,,,,,,accept_price,,,1,1,105000,115000,125000,135000,105000,135000,105000,135000,2,0,0,2,partial_day_slots | complete_day_slots,partial_day_slots | complete_day_slots,partial,,teescanner,,,https://www.teescanner.com/booking/detail?tab=teetime&golfclub_seq=560&roundDay=2026-06-29&entry_path=SC
,gc-bcdfbfe815c7,비에이비스타CC(회원제),,,,,,,,,,,,accept_price,,,1,1,105000,115000,125000,135000,105000,135000,105000,135000,2,0,0,2,complete_day_slots | partial_day_slots,complete_day_slots | partial_day_slots,partial,,teescanner,,,https://www.teescanner.com/booking/detail?tab=teetime&golfclub_seq=560&roundDay=2026-06-27&entry_path=SC
3,gc-a862e6d054f2,빅토리아GC,빅토리아GC,빅토리아,빅토리아일반대중골프장,빅토리아,,빅토리아(P),빅토리아(P),경기남부,여주,P,,accept_price,,,1,1,60000,79000,113000,113000,60000,113000,60000,113000,2,0,0,2,loaded_slots,loaded_slots,complete,경기남부 > 여주,teescanner,2026-06-24T13:38:44.399Z,2026-06-24T13:38:44.399Z,https://www.teescanner.com/booking/detail?tab=teetime&golfclub_seq=202&roundDay=2026-06-29&entry_path=SC
4,gc-15dd2e00d6c7,군위오펠GC,군위오펠GC,군위오펠,오펠골프클럽,군위오펠,primary,군위오펠(P),군위오펠(P),경상북부,군위,P,ambiguous,manual_review,ambiguous_match,,1,0,,,,,,,,,0,1,1,0,,,,경상북부 > 군위,teescanner,2026-06-25T01:54:35.776Z,2026-06-25T01:54:35.776Z,
8,gc-120fdf5098ca,센추리21CC,센추리21CC,센추리21,센추리21컨트리클럽Ⅱ,센추리21,primary,센추리,센추리,강원서부,원주,,ambiguous,manual_review,multiple similar candidates,,2,0,,,,,,,,,0,2,2,0,,,,강원서부 > 원주,teescanner,2026-06-24T13:41:03.009Z,2026-06-24T13:41:03.009Z,
9,gc-d2426892b3a5,센추리21CC(퍼블릭),센추리21CC(퍼블릭),센추리21,센추리21퍼블릭,센추리21,primary,센추리,센추리,강원서부,원주,,ambiguous,manual_review,multiple similar candidates,,2,0,,,,,,,,,0,2,2,0,,,,강원서부 > 원주,teescanner,2026-06-24T13:41:22.212Z,2026-06-24T13:41:22.212Z,
10,gc-e9127c84ddf1,소노펠리체CC 비발디파크 WEST,소노펠리체CC 비발디파크 WEST,소노펠리체CC 비발디파크 WEST,소노펠리체 컨트리클럽 비발디파크 웨스트,소노펠리체 컨트리클럽 비발디파크 웨스트,,,,,,,,manual_review,,,2,0,,,,,,,,,0,2,2,0,,,,,teescanner,2026-06-24T13:42:00.739Z,2026-06-24T13:42:00.739Z,
11,gc-56adaea8c265,소노펠리체CC 비발디파크 MOUNTAIN,소노펠리체CC 비발디파크 MOUNTAIN,소노펠리체CC 비발디파크 MOUNTAIN,소노펠리체 컨트리클럽 비발디파크 마운틴,소노펠리체 컨트리클럽 비발디파크 마운틴,,,,,,,,manual_review,,,1,0,,,,,,,,,0,1,1,0,,,,,teescanner,2026-06-24T13:42:39.253Z,2026-06-24T13:42:39.253Z,
12,gc-67d0f65e6b2d,설해원,설해원,설해원,설해원더 레전드 코스,설해원더 레전드 코스,,,,,,,,manual_review,,,2,0,,,,,,,,,0,2,2,0,,,,,teescanner,2026-06-24T13:43:17.724Z,2026-06-24T13:43:17.724Z,
16,gc-9de1c40fef77,"블랙스톤CC(퍼블릭, 서코스)","블랙스톤CC(퍼블릭, 서코스)",블랙스톤,블랙스톤골프장(대중형),블랙스톤,primary,블랙스톤,블랙스톤,제주 제주도,제주시,,ambiguous,manual_review,multiple similar candidates,,1,0,,,,,,,,,0,1,1,0,,,,제주 제주도 > 제주시,teescanner,2026-06-25T01:56:12.050Z,2026-06-25T01:56:12.050Z,
18,gc-8a797fe2213a,금강CC(회원제),금강CC(회원제),금강,금강컨트리클럽(회원),금강,,금강,금강,경기남부,여주,,,accept_price,,,1,1,120000,150000,190000,220000,120000,220000,120000,220000,2,0,0,2,complete_day_slots,complete_day_slots,complete,경기남부 > 여주,teescanner,2026-06-24T13:46:50.697Z,2026-06-24T13:46:50.697Z,https://www.teescanner.com/booking/detail?tab=teetime&golfclub_seq=292&roundDay=2026-06-29&entry_path=SC
19,gc-3f6cace5bf14,"금강CC(퍼블릭, 동코스)","금강CC(퍼블릭, 동코스)",금강,금강컨트리클럽(대중),금강,,금강,금강,경기남부,여주,,,accept_price,,,1,1,120000,150000,190000,220000,120000,220000,120000,220000,2,0,0,2,complete_day_slots,complete_day_slots,complete,경기남부 > 여주,teescanner,2026-06-25T00:42:37.159Z,2026-06-25T00:42:37.159Z,https://www.teescanner.com/booking/detail?tab=teetime&golfclub_seq=292&roundDay=2026-06-29&entry_path=SC
23,gc-1730ca5fe304,뉴스프링빌2CC,뉴스프링빌2CC,뉴스프링빌2,뉴스프링빌Ⅱ,뉴스프링빌2,primary,뉴스프링빌(P),뉴스프링빌(P),경상북부,상주,P,ambiguous,manual_review,ambiguous_match,,1,0,,,,,,,,,0,1,1,0,,,,경상북부 > 상주,teescanner,2026-06-25T01:57:10.029Z,2026-06-25T01:57:10.029Z,
26,gc-3d725200e925,울산CC,울산CC,울산,울산골프장,울산골프장,,,,,,,,manual_review,,,1,0,,,,,,,,,0,1,1,0,,,,,teescanner,2026-06-25T00:45:14.586Z,2026-06-25T00:45:14.586Z,
28,gc-a6fee0f415b7,화순CC,화순CC,화순,화순CC,화순,primary,화순,화순,,,,ambiguous,manual_review,multiple similar candidates,,1,0,,,,,,,,,0,1,1,0,,,,,teescanner,2026-06-25T01:58:07.935Z,2026-06-25T01:58:07.935Z,
31,gc-98e3f829ab99,힐마루CC(퍼블릭),힐마루CC(퍼블릭),힐마루,힐마루컨트리클럽 (대중제),힐마루,primary,힐마루,힐마루,경상남부,창녕,,ambiguous,manual_review,multiple similar candidates,,1,0,,,,,,,,,0,1,1,0,,,,경상남부 > 창녕,teescanner,2026-06-25T01:58:46.402Z,2026-06-25T01:58:46.402Z,
34,gc-57d2cac587d2,에버리스GR(퍼블릭),에버리스GR(퍼블릭),에버리스GR,에버리스CC (대중제),에버리스CC (대중제),,,,,,,,manual_review,,,1,0,,,,,,,,,0,1,1,0,,,,,teescanner,2026-06-25T00:48:30.453Z,2026-06-25T00:48:30.453Z,
36,gc-a34d1218714a,해비치CC(퍼블릭),해비치CC(퍼블릭),해비치,해비치CC (대중제),해비치,,해비치,해비치,제주 제주,서귀포,,,accept_price,,,1,1,110000,160000,180000,210000,110000,210000,110000,210000,2,0,0,2,loaded_slots,loaded_slots,complete,제주 제주 > 서귀포,teescanner,2026-06-25T00:51:58.730Z,2026-06-25T00:51:58.730Z,https://www.teescanner.com/booking/detail?tab=teetime&golfclub_seq=14&roundDay=2026-06-29&entry_path=SC
