id,name,price_text,price_min,price_max,price_type,difficulty,avg_score,source_url,confidence,needs_check,note
gc-9262179bfeaa,하이스트컨트리클럽,"네이버 예약: 105,000원; 110,000원; 120,000원; 125,000원",105000,125000,reservation_price,6.7,92.0,https://search.naver.com/search.naver?where=nexearch&query=%ED%95%98%EC%9D%B4%EC%8A%A4%ED%8A%B8%EC%BB%A8%ED%8A%B8%EB%A6%AC%ED%81%B4%EB%9F%BD,high,y,
gc-2070c1511760,아시아드컨트리클럽,,,,unknown,5.5,92.0,https://search.naver.com/search.naver?where=nexearch&query=%EC%95%84%EC%8B%9C%EC%95%84%EB%93%9C%EC%BB%A8%ED%8A%B8%EB%A6%AC%ED%81%B4%EB%9F%BD,high,y,
gc-0cacc131d4d7,해운대컨트리클럽,"네이버 예약: 150,000원",150000,150000,reservation_price,7.4,93.0,https://search.naver.com/search.naver?where=nexearch&query=%ED%95%B4%EC%9A%B4%EB%8C%80%EC%BB%A8%ED%8A%B8%EB%A6%AC%ED%81%B4%EB%9F%BD,high,y,
gc-dceb317bb674,베이사이드골프클럽,,,,unknown,6.3,92.0,https://search.naver.com/search.naver?where=nexearch&query=%EB%B2%A0%EC%9D%B4%EC%82%AC%EC%9D%B4%EB%93%9C%EA%B3%A8%ED%94%84%ED%81%B4%EB%9F%BD,high,y,
gc-80348568c7d7,기장동원로얄컨트리클럽,"네이버 예약: 110,000원; 120,000원",110000,120000,reservation_price,5.0,92.0,https://search.naver.com/search.naver?where=nexearch&query=%EA%B8%B0%EC%9E%A5%EB%8F%99%EC%9B%90%EB%A1%9C%EC%96%84%EC%BB%A8%ED%8A%B8%EB%A6%AC%ED%81%B4%EB%9F%BD,high,y,
gc-4fba6a0ae29e,스톤게이트컨트리클럽,"네이버 예약: 190,000원",190000,190000,reservation_price,9.4,94.0,https://search.naver.com/search.naver?where=nexearch&query=%EC%8A%A4%ED%86%A4%EA%B2%8C%EC%9D%B4%ED%8A%B8%EC%BB%A8%ED%8A%B8%EB%A6%AC%ED%81%B4%EB%9F%BD,high,y,
gc-dd6fca373d1b,인서울27골프클럽,,,,unknown,4.4,91.0,https://search.naver.com/search.naver?where=nexearch&query=%EC%9D%B8%EC%84%9C%EC%9A%B827%EA%B3%A8%ED%94%84%ED%81%B4%EB%9F%BD,high,y,
gc-2b09ff38b37c,세종에머슨컨트리클럽,,,,unknown,3.0,90.0,https://search.naver.com/search.naver?where=nexearch&query=%EC%84%B8%EC%A2%85%EC%97%90%EB%A8%B8%EC%8A%A8%EC%BB%A8%ED%8A%B8%EB%A6%AC%ED%81%B4%EB%9F%BD,high,y,
gc-1e8879a575c1,세종레이캐슬골프&리조트,,,,unknown,6.8,92.0,https://search.naver.com/search.naver?where=nexearch&query=%EC%84%B8%EC%A2%85%EB%A0%88%EC%9D%B4%EC%BA%90%EC%8A%AC%EA%B3%A8%ED%94%84%26%EB%A6%AC%EC%A1%B0%ED%8A%B8,high,y,
gc-312ef6603be3,보라골프장,"네이버 예약: 250,000원",250000,250000,reservation_price,5.1,92.0,https://search.naver.com/search.naver?where=nexearch&query=%EB%B3%B4%EB%9D%BC%EA%B3%A8%ED%94%84%EC%9E%A5,high,y,
gc-bb197f80e910,베이스타즈CC,"네이버 예약: 130,000원; 189,000원",130000,189000,reservation_price,7.6,93.0,https://search.naver.com/search.naver?where=nexearch&query=%EB%B2%A0%EC%9D%B4%EC%8A%A4%ED%83%80%EC%A6%88CC,high,y,
gc-442afb70220e,오르비스골프클럽,,,,unknown,,,https://search.naver.com/search.naver?where=nexearch&query=%EC%98%A4%EB%A5%B4%EB%B9%84%EC%8A%A4%EA%B3%A8%ED%94%84%ED%81%B4%EB%9F%BD,high,y,
gc-fa1a5b7b0f98,인천국제컨트리클럽,,,,unknown,,,https://search.naver.com/search.naver?where=nexearch&query=%EC%9D%B8%EC%B2%9C%EA%B5%AD%EC%A0%9C%EC%BB%A8%ED%8A%B8%EB%A6%AC%ED%81%B4%EB%9F%BD,high,y,
gc-68bd427a4957,송도골프클럽,,,,unknown,,,https://search.naver.com/search.naver?where=nexearch&query=%EC%86%A1%EB%8F%84%EA%B3%A8%ED%94%84%ED%81%B4%EB%9F%BD,high,y,
