id,name,address,query,query_variant,attempted_queries,matched_query,source,candidate_title,candidate_address,candidate_phone,candidate_homepage_url,candidate_price_text,candidate_price_min,candidate_price_max,candidate_price_type,candidate_difficulty,candidate_difficulty_text,candidate_avg_score,candidate_reservation_prices_text,candidate_confidence,needs_review,reason,source_url,collected_at
gc-cf50ab88350d,㈜그랜드부민 꿈드림목장,제주특별자치도 제주시 516로 2596-117,㈜그랜드부민 꿈드림목장 그린피,green_fee,㈜그랜드부민 꿈드림목장 | ㈜그랜드부민 꿈드림목장 네이버 | ㈜그랜드부민 꿈드림목장 그린피 | ㈜그랜드부민 꿈드림목장 네이버 예약 | ㈜그랜드부민 꿈드림목장 제주시,㈜그랜드부민 꿈드림목장 그린피,naver_scrape,(주)그랜드부민 꿈드림목장 (비회원제 9홀),2024.01.01.(주)그랜드부민 꿈드림목장 (비회원제 9홀) 상세 정보입니다. 제주특별자치도 제주시 용강동 산 5번지 위치입니다. 제주특별자치도 제주시 516로 2596-117 (용강동),02-0120-1100,,,,,unknown,,,,,high,true,"골프장명·주소(시/군/구) 일치, phone/homepage/price 후보 수집; phone candidates: 2; homepage not found; naver reservation price not found; naver reservation price not found — price fields left empty",https://search.naver.com/search.naver?where=nexearch&query=%E3%88%9C%EA%B7%B8%EB%9E%9C%EB%93%9C%EB%B6%80%EB%AF%BC%20%EA%BF%88%EB%93%9C%EB%A6%BC%EB%AA%A9%EC%9E%A5%20%EA%B7%B8%EB%A6%B0%ED%94%BC,2026-06-19T09:59:36.469Z
gc-41c9fac17790,㈜호텔롯데 스카이힐 부여CC,부여군 규암면 백제문로 470,㈜호텔롯데 스카이힐 부여CC,original,㈜호텔롯데 스카이힐 부여CC | ㈜호텔롯데 스카이힐 부여CC 네이버 | ㈜호텔롯데 스카이힐 부여CC 그린피 | ㈜호텔롯데 스카이힐 부여CC 네이버 예약 | ㈜호텔롯데 스카이힐 부여CC 부여군,㈜호텔롯데 스카이힐 부여CC,naver_scrape,롯데스카이힐부여CC,"충청남도 부여군 규암면 백제문로 400에 위치한 (주)호텔롯데 스카이힐 부여 CC의 상세 정보. 시설 면적, 운영 형태, 위치 정보를 확인하세요.",,,,,,unknown,,,,,high,true,"골프장명·주소(시/군/구) 일치, 추가 필드 수동 확인 필요; homepage not found; naver reservation price not found; naver reservation price not found — price fields left empty",https://search.naver.com/search.naver?where=nexearch&query=%E3%88%9C%ED%98%B8%ED%85%94%EB%A1%AF%EB%8D%B0%20%EC%8A%A4%EC%B9%B4%EC%9D%B4%ED%9E%90%20%EB%B6%80%EC%97%ACCC,2026-06-19T10:03:23.091Z
gc-a80360466b97,1·2·3 골프장,경기도 고양시 덕양구 통일로 43-168,1·2·3 골프장,original,1·2·3 골프장 | 1·2·3 | 1·2·3 골프장 네이버 | 1·2·3 골프장 그린피 | 1·2·3 골프장 네이버 예약 | 1·2·3 골프장 고양시,1·2·3 골프장,naver_scrape,1·2·3 골프장,,031-681-9992,,,,,unknown,,,,,medium,true,"이름 유사·phone/homepage/price 후보 있음, 주소 확인 약함; phone candidates: 2; homepage not found; naver reservation price not found; naver reservation price not found — price fields left empty",https://search.naver.com/search.naver?where=nexearch&query=1%C2%B72%C2%B73%20%EA%B3%A8%ED%94%84%EC%9E%A5,2026-06-19T07:40:10.635Z
gc-13ed08c1c42b,360도 컨트리클럽,경기도 여주시 강천면 부평로 609,360도 컨트리클럽,original,360도 컨트리클럽 | 360도 CC | 360도 C.C | 360도 컨트리클럽 네이버 | 360도 컨트리클럽 그린피 | 360도 컨트리클럽 네이버 예약 | 360도 컨트리클럽 여주시,360도 컨트리클럽,naver_scrape,360도컨트리클럽,경기 여주시 강천면 부평리 산59-5,031-880-3600,http://www.360cc.co.kr/,,,,unknown,9.8,9.8/10,96,,high,true,"골프장명·주소(시/군/구) 일치, phone/homepage/price 후보 수집; homepage ambiguous; naver reservation price not found; difficulty: 9.8/10; naver reservation price not found — price fields left empty",https://search.naver.com/search.naver?where=nexearch&query=360%EB%8F%84%20%EC%BB%A8%ED%8A%B8%EB%A6%AC%ED%81%B4%EB%9F%BD,2026-06-19T08:34:01.826Z
gc-eb9124b06908,가든골프클럽,경상북도 경주시 불국로 289-17,가든GC,gc,가든골프클럽 | 가든GC | 가든G.C | 가든 | 가든골프클럽 네이버 | 가든골프클럽 그린피 | 가든골프클럽 네이버 예약 | 가든골프클럽 경주시,가든GC,naver_scrape,락가든골프클럽,,031-539-5932,,,,,unknown,,,,,medium,true,"이름 유사·phone/homepage/price 후보 있음, 주소 확인 약함; phone candidates: 4; homepage not found; naver reservation price not found; naver reservation price not found — price fields left empty",https://search.naver.com/search.naver?where=nexearch&query=%EA%B0%80%EB%93%A0GC,2026-06-19T08:51:33.411Z
gc-a8d0095f2145,가평 베네스트G.C,경기도 가평군 상면 둔덕말길 232,가평 베네스트G.C,original,가평 베네스트G.C | 가평 베네스트G.C 네이버 | 가평 베네스트G.C 그린피 | 가평 베네스트G.C 네이버 예약 | 가평 베네스트G.C 가평군,가평 베네스트G.C,naver_scrape,가평베네스트GC,,031-589-8206,,,,,unknown,,,,,medium,true,"이름 유사·phone/homepage/price 후보 있음, 주소 확인 약함; homepage not found; naver reservation price not found; naver reservation price not found — price fields left empty",https://search.naver.com/search.naver?where=nexearch&query=%EA%B0%80%ED%8F%89%20%EB%B2%A0%EB%84%A4%EC%8A%A4%ED%8A%B8G.C,2026-06-19T08:46:26.065Z
gc-2fa514959418,강남300 컨트리클럽,경기도 광주시 새말길 353(목동),강남300 컨트리클럽,original,강남300 컨트리클럽 | 강남300 CC | 강남300 C.C | 강남300 컨트리클럽 네이버 | 강남300 컨트리클럽 그린피 | 강남300 컨트리클럽 네이버 예약 | 강남300 컨트리클럽 광주시,강남300 컨트리클럽,naver_scrape,강남300CC,경기 광주시 새말길 353,031-719-0300,https://www.instagram.com/kangnam300cc/,,,,unknown,3.7,3.7/10,91,,high,true,"골프장명·주소(시/군/구) 일치, phone/homepage/price 후보 수집; phone candidates: 2; homepage ambiguous; naver reservation price not found; difficulty: 3.7/10; naver reservation price not found — price fields left empty",https://search.naver.com/search.naver?where=nexearch&query=%EA%B0%95%EB%82%A8300%20%EC%BB%A8%ED%8A%B8%EB%A6%AC%ED%81%B4%EB%9F%BD,2026-06-19T08:12:02.618Z
gc-868a31e611a3,강화 선두리 골프장,인천시 강화군 해안남로 474번길 59,강화 선두리 골프장,original,강화 선두리 골프장 | 강화 선두리 | 강화 선두리 골프장 네이버 | 강화 선두리 골프장 그린피 | 강화 선두리 골프장 네이버 예약 | 강화 선두리 골프장 인천시,강화 선두리 골프장,naver_scrape,강화선두리 골프장,인천 강화군 길상면 해안남로 392,032-933-1010,http://www.gakorea.com,,,,unknown,1.8,1.8/10,89,,high,true,"골프장명·주소(시/군/구) 일치, phone/homepage/price 후보 수집; phone candidates: 3; homepage ambiguous; naver reservation price not found; difficulty: 1.8/10; naver reservation price not found — price fields left empty",https://search.naver.com/search.naver?where=nexearch&query=%EA%B0%95%ED%99%94%20%EC%84%A0%EB%91%90%EB%A6%AC%20%EA%B3%A8%ED%94%84%EC%9E%A5,2026-06-19T09:51:01.271Z
gc-2b0f0302ba03,거제드비치골프클럽,거제시 장목면 거제북로 1573,거제드비치골프클럽,original,거제드비치골프클럽 | 거제드비치GC | 거제드비치G.C | 거제드비치 | 거제드비치골프클럽 네이버 | 거제드비치골프클럽 그린피 | 거제드비치골프클럽 네이버 예약 | 거제드비치골프클럽 거제시,거제드비치골프클럽,naver_scrape,드비치 골프클럽,경남 거제시 장목면 송진포리 산77-3,055-736-3000,http://www.debeach.co.kr/,"네이버 예약: 110,000원; 120,000원; 130,000원",110000,130000,reservation_price,7,7/10,93,"네이버 예약: 110,000원; 120,000원; 130,000원",high,true,"골프장명·주소(시/군/구) 일치, phone/homepage/price 후보 수집; homepage ambiguous; reservation prices: 3; difficulty: 7/10",https://search.naver.com/search.naver?where=nexearch&query=%EA%B1%B0%EC%A0%9C%EB%93%9C%EB%B9%84%EC%B9%98%EA%B3%A8%ED%94%84%ED%81%B4%EB%9F%BD,2026-06-19T08:48:27.069Z
gc-cc0251be98e6,거제뷰컨트리클럽,거제시 거제면 두동로 259-80,거제뷰컨트리클럽,original,거제뷰컨트리클럽 | 거제뷰CC | 거제뷰C.C | 거제뷰컨트리클럽 네이버 | 거제뷰컨트리클럽 그린피 | 거제뷰컨트리클럽 네이버 예약 | 거제뷰컨트리클럽 거제시,거제뷰컨트리클럽,naver_scrape,거제뷰컨트리클럽,경남 거제시 거제면 두동로 259-80,0507-1447-2232,http://www.geojeview.co.kr/,"네이버 예약: 95,000원; 129,000원",95000,129000,reservation_price,4.2,4.2/10,91,"네이버 예약: 95,000원; 129,000원",high,true,"골프장명·주소(시/군/구) 일치, phone/homepage/price 후보 수집; homepage ambiguous; reservation prices: 2; difficulty: 4.2/10",https://search.naver.com/search.naver?where=nexearch&query=%EA%B1%B0%EC%A0%9C%EB%B7%B0%EC%BB%A8%ED%8A%B8%EB%A6%AC%ED%81%B4%EB%9F%BD,2026-06-19T08:48:33.189Z
