id,name,region,city,address,query,latitude,longitude,provider,confidence,matched_address,raw_place_name,status,note
gc-ba63455c375f,창원컨트리클럽,경상,창원시,창원시 의창구 대봉로 137,경상남도 창원시 의창구 대봉로 137,35.2603549181413,128.664104192699,kakao,80,경남 창원시 의창구 대봉로 137,,success,confidence=80; endpoint=https://dapi.kakao.com/v2/local/search/address.json; steps=1
gc-bfc85ba9acd0,용원컨트리클럽,경상,창원시,창원시 진해구 가주로 133,경상남도 창원시 진해구 가주로 133,35.1136520233281,128.825488553508,kakao,80,경남 창원시 진해구 가주로 133,,success,confidence=80; endpoint=https://dapi.kakao.com/v2/local/search/address.json; steps=1
gc-745bb2ca1c75,아라미르골프앤리조트,경상,창원시,창원시 진해구 수제로 36,경상남도 창원시 진해구 수제로 36,35.0885701282544,128.747862908254,kakao,80,경남 창원시 진해구 수제로 36,,success,confidence=80; endpoint=https://dapi.kakao.com/v2/local/search/address.json; steps=1
gc-25bf0a715d27,진주컨트리클럽,경상,진주시,진주시 진성면 진성로 464번길 82,경상남도 진주시 진성면 진성로 464번길 82,35.1762553567221,128.232929408042,kakao,80,경남 진주시 진성면 진성로464번길 82,,success,confidence=80; endpoint=https://dapi.kakao.com/v2/local/search/address.json; steps=1
gc-d18fa63ecde3,통영동원로얄컨트리클럽,경상,통영시,통영시 산양읍 담안길 240,경상남도 통영시 산양읍 담안길 240,34.8101335211616,128.427671319115,kakao,80,경남 통영시 산양읍 담안길 240,,success,confidence=80; endpoint=https://dapi.kakao.com/v2/local/search/address.json; steps=1
gc-c96a1655bd5c,타미우스cc,제주,제주시,제주특별자치도 제주시 애월읍 화전길 201,제주특별자치도 제주시 애월읍 화전길 201,33.3482636532172,126.385652476576,kakao,80,제주특별자치도 제주시 애월읍 화전길 201,,success,confidence=80; endpoint=https://dapi.kakao.com/v2/local/search/address.json; steps=1
gc-7d2ed71b8086,그린필드GC,제주,제주시,제주특별자치도 제주시 조천읍 번영로 1040-70,제주특별자치도 제주시 조천읍 번영로 1040-70,33.4638600500371,126.645487163873,kakao,80,제주특별자치도 제주시 조천읍 번영로 1040-70,,success,confidence=80; endpoint=https://dapi.kakao.com/v2/local/search/address.json; steps=1
gc-aff117457c45,라헨느CC,제주,제주시,제주특별자치도 제주시 봉개동 241-13,제주특별자치도 제주시 봉개동 241-13,33.4541450430555,126.611786537072,kakao,80,제주특별자치도 제주시 봉개동 241-13,,success,confidence=80; endpoint=https://dapi.kakao.com/v2/local/search/address.json; steps=1
gc-ed4f10d4c149,볼카노골프앤리조트,제주,서귀포시,제주특별자치도 서귀포시 산록남로 1391,제주특별자치도 서귀포시 산록남로 1391,33.2971177279609,126.435385898389,kakao,80,제주특별자치도 서귀포시 산록남로 1391,,success,confidence=80; endpoint=https://dapi.kakao.com/v2/local/search/address.json; steps=1
gc-7860808d29d1,테디밸리,제주,서귀포시,제주특별자치도 서귀포시 한창로 365,제주특별자치도 서귀포시 한창로 365,33.288986163678,126.351409555697,kakao,80,제주특별자치도 서귀포시 안덕면 한창로 365,,success,confidence=80; endpoint=https://dapi.kakao.com/v2/local/search/address.json; steps=1
