id,name,region,city,address,query,source
gc-568fcaa60a5e,카스카디아 골프클럽,강원,홍천군,홍천군 북방면 팔봉산로 1759,카스카디아 골프클럽 홍천군 북방면 팔봉산로 1759,public_data
gc-bbf51fd6cc91,웰리힐리컨트리클럽,강원,횡성군,횡성군 둔내면 고원로 451,웰리힐리컨트리클럽 횡성군 둔내면 고원로 451,public_data
gc-ec8024eb7955,웰리힐리퍼블릭,강원,횡성군,횡성군 둔내면 고원로 451,웰리힐리퍼블릭 횡성군 둔내면 고원로 451,public_data
gc-e494f9e1ff69,동원썬밸리컨트리클럽,강원,횡성군,횡성군 서원면 서원서로339번길 90,동원썬밸리컨트리클럽 횡성군 서원면 서원서로339번길 90,public_data
gc-17aba5f4eb83,알프스대영컨트리클럽,강원,횡성군,횡성군 우천면 한우로 1295,알프스대영컨트리클럽 횡성군 우천면 한우로 1295,public_data
gc-43114c6913bc,벨라스톤컨트리클럽,강원,횡성군,횡성군 서원면 옥계9길 124,벨라스톤컨트리클럽 횡성군 서원면 옥계9길 124,public_data
gc-535182f1f0fa,올데이 옥스필드,강원,횡성군,횡성군 서원면 경강로 유현6길 28,올데이 옥스필드 횡성군 서원면 경강로 유현6길 28,public_data
gc-fac50b03683e,벨라45 오너스 컨트리클럽,강원,횡성군,횡성군 서원면 창촌리 산132,벨라45 오너스 컨트리클럽 횡성군 서원면 창촌리 산132,public_data
gc-a09581c58781,벨라45마스터스 컨트리클럽,강원,횡성군,횡성군 서원면 창촌리 산124,벨라45마스터스 컨트리클럽 횡성군 서원면 창촌리 산124,public_data
gc-908385d35939,동강시스타 골프장,강원,영월군,영월군 영월읍 사지막길 160,동강시스타 골프장 영월군 영월읍 사지막길 160,public_data
gc-11423b427515,용평리조트골프클럽,강원,평창군,평창군 대관령면 올림픽로 715,용평리조트골프클럽 평창군 대관령면 올림픽로 715,public_data
gc-1e4b4a02117e,용평버치힐골프클럽,강원,평창군,평창군 대관령면 올림픽로 715,용평버치힐골프클럽 평창군 대관령면 올림픽로 715,public_data
gc-07cd3007c683,용평리조트대중골프장,강원,평창군,평창군 대관령면 올림픽로 715,용평리조트대중골프장 평창군 대관령면 올림픽로 715,public_data
gc-98e23645d4c7,휘닉스 컨트리클럽,강원,평창군,평창군 봉평면 태기로 227-84,휘닉스 컨트리클럽 평창군 봉평면 태기로 227-84,public_data
gc-716264430902,휘닉스대중골프장,강원,평창군,평창군 봉평면 태기로 227-84,휘닉스대중골프장 평창군 봉평면 태기로 227-84,public_data
gc-2b5762bfc60c,알펜시아컨트리클럽,강원,평창군,평창군 대관령면 솔봉로 325,알펜시아컨트리클럽 평창군 대관령면 솔봉로 325,public_data
gc-88fd5807de80,알펜시아 700골프클럽,강원,평창군,평창군 대관령면 솔봉로 325,알펜시아 700골프클럽 평창군 대관령면 솔봉로 325,public_data
gc-658a43bb77b8,하이원컨트리클럽,강원,정선군,정선군 고한읍 고한7길 399,하이원컨트리클럽 정선군 고한읍 고한7길 399,public_data
gc-c97aebfdffe3,에콜리안정선골프장,강원,정선군,정선군 신동읍 새골길 112-49,에콜리안정선골프장 정선군 신동읍 새골길 112-49,public_data
gc-57059262e040,한탄강컨트리클럽,강원,철원군,철원군 갈말읍 순담길 59,한탄강컨트리클럽 철원군 갈말읍 순담길 59,public_data
gc-af74a0cb154f,설악썬밸리컨트리클럽,강원,고성군,고성군 죽왕면 순포로 188,설악썬밸리컨트리클럽 고성군 죽왕면 순포로 188,public_data
gc-da4ac7ff9f91,소노펠리체 컨트리클럽 델피노,강원,고성군,고성군 토성면 미시령옛길 1153,소노펠리체 컨트리클럽 델피노 고성군 토성면 미시령옛길 1153,public_data
gc-4454a258c3a6,파인리즈컨트리클럽,강원,고성군,고성군 토성면 잼버리동로 267,파인리즈컨트리클럽 고성군 토성면 잼버리동로 267,public_data
gc-318abdb864d5,설해원,강원,양양군,양양군 손양면 공항로 230,설해원 양양군 손양면 공항로 230,public_data
gc-67d0f65e6b2d,설해원더 레전드 코스,강원,양양군,양양군 손양면 공항로 230,설해원더 레전드 코스 양양군 손양면 공항로 230,public_data
gc-9a7ff16abcee,한원컨트리클럽,경기,용인시,경기도 용인시 처인구 남사읍 전나무골길2번길 94,경기도 용인시 처인구 남사읍 전나무골길2번길 94,public_data
gc-897c73dbf41b,양지파인골프클럽,경기,용인시,경기도 용인시 처인구 양지면 남평로 112,경기도 용인시 처인구 양지면 남평로 112,public_data
gc-38b838344176,수원컨트리클럽,경기,용인시,경기도 용인시 기흥구 중부대로 495,경기도 용인시 기흥구 중부대로 495,public_data
gc-4af8a2f8ed32,플라자CC,경기,용인시,경기도 용인시 처인구 남사읍 봉무로 153번길 79,경기도 용인시 처인구 남사읍 봉무로 153번길 79,public_data
gc-9da6f2a0f2d9,태광컨트리클럽(회원제),경기,용인시,경기도 용인시 기흥구 흥덕4로 77,경기도 용인시 기흥구 흥덕4로 77,public_data
gc-3d63d3179c0f,태광컨트리클럽(대중제),경기,용인시,경기도 용인시 기흥구 흥덕4로 77,경기도 용인시 기흥구 흥덕4로 77,public_data
gc-c2ad879f8193,한성컨트리클럽,경기,용인시,경기도 용인시 기흥구 구교동로 151,경기도 용인시 기흥구 구교동로 151,public_data
gc-254a1c054bbe,골드컨트리클럽,경기,용인시,경기도 용인시 기흥구 기흥단지로 398,경기도 용인시 기흥구 기흥단지로 398,public_data
gc-0f218a599984,국가보훈부 88골프장,경기,용인시,경기도 용인시 기흥구 석성로 521번길 169,경기도 용인시 기흥구 석성로 521번길 169,public_data
gc-e684f84c8fa4,레이크사이드CC(대중제),경기,용인시,경기도 용인시 처인구 모현읍 능원로 181,경기도 용인시 처인구 모현읍 능원로 181,public_data
gc-588d348bc962,레이크사이드CC(회원제),경기,용인시,경기도 용인시 처인구 모현읍 능원로 181,경기도 용인시 처인구 모현읍 능원로 181,public_data
gc-1475a1d902d7,남부컨트리클럽,경기,용인시,경기도 용인시 기흥구 사은로 163,경기도 용인시 기흥구 사은로 163,public_data
gc-a53c3fecd592,신원CC,경기,용인시,경기도 용인시 이동읍 이원로 225,경기도 용인시 이동읍 이원로 225,public_data
gc-120c785ee7a3,은화삼컨트리클럽,경기,용인시,경기도 용인시 처인구 백옥대로 860-38,경기도 용인시 처인구 백옥대로 860-38,public_data
gc-25de9ff08a30,아시아나컨트리클럽,경기,용인시,경기도 용인시 처인구 양지면 양대로 290,경기도 용인시 처인구 양지면 양대로 290,public_data
gc-0c833ff6d95f,블루원용인CC(회원제),경기,용인시,경기도 용인시 처인구 원삼면 보개원삼로 1534번길 40,경기도 용인시 처인구 원삼면 보개원삼로 1534번길 40,public_data
gc-2ef4e18d677b,블루원용인CC(비회원제),경기,용인시,경기도 용인시 처인구 원삼면 보개원삼로 1534번길 40,경기도 용인시 처인구 원삼면 보개원삼로 1534번길 40,public_data
gc-0086afc84101,코리아컨트리클럽,경기,용인시,경기도 용인시 처인구 이동읍 기흥단지로 579,경기도 용인시 처인구 이동읍 기흥단지로 579,public_data
gc-4487ee52808c,코리아대중CC,경기,용인시,경기도 용인시 기흥구 기흥단지로 224,경기도 용인시 기흥구 기흥단지로 224,public_data
gc-20c1df4aa8fb,지산컨트리클럽,경기,용인시,경기도 용인시 처인구 원삼면 죽양대로 2000번길 60,경기도 용인시 처인구 원삼면 죽양대로 2000번길 60,public_data
gc-4687a4044d34,지산퍼블릭,경기,용인시,경기도 용인시 처인구 원삼면 죽양대로 2100번길 60,경기도 용인시 처인구 원삼면 죽양대로 2100번길 60,public_data
gc-ab63350a5577,화산컨트리클럽,경기,용인시,경기도 용인시 처인구 이동읍 화산로 239,경기도 용인시 처인구 이동읍 화산로 239,public_data
gc-8b59a320f132,한림용인CC,경기,용인시,경기도 용인시 처인구 남사읍 경기동로 628,경기도 용인시 처인구 남사읍 경기동로 628,public_data
gc-748b687096d1,글렌로스 골프클럽,경기,용인시,경기도 용인시 처인구 포곡읍 에버랜드로 562번길 69,경기도 용인시 처인구 포곡읍 에버랜드로 562번길 69,public_data
gc-928514cac4c6,용인CC,경기,용인시,경기도 용인시 처인구 백암면 황새울로 255,경기도 용인시 처인구 백암면 황새울로 255,public_data
gc-fc0e80550b95,석천CC,경기,용인시,경기도 용인시 처인구 백암면 황새울로 255,경기도 용인시 처인구 백암면 황새울로 255,public_data
gc-c45d3f5d316d,써닝포인트 컨트리클럽,경기,용인시,경기도 용인시 처인구 백암면 고안로 51번길 205,경기도 용인시 처인구 백암면 고안로 51번길 205,public_data
gc-f4bb9638f567,해솔리아 컨트리클럽,경기,용인시,경기도 용인시 처인구 이동읍 백자로 369,경기도 용인시 처인구 이동읍 백자로 369,public_data
gc-af63c289d999,세현CC,경기,용인시,경기도 용인시 처인구 이동읍 백자로 450,경기도 용인시 처인구 이동읍 백자로 450,public_data
gc-27324df1736a,한양컨트리클럽,경기,고양시,경기도 고양시 덕양구 고양대로1643번길 164,경기도 고양시 덕양구 고양대로1643번길 164,public_data
gc-3b60b2dadb3f,뉴코리아 컨트리클럽,경기,고양시,경기도 고양시 덕양구 신원2로 57,경기도 고양시 덕양구 신원2로 57,public_data
gc-8fbc2ee961a0,고양컨트리클럽,경기,고양시,경기도 고양시 덕양구 흥도로 304-23,경기도 고양시 덕양구 흥도로 304-23,public_data
gc-a80360466b97,1·2·3 골프장,경기,고양시,경기도 고양시 덕양구 통일로 43-168,경기도 고양시 덕양구 통일로 43-168,public_data
gc-18640b625b94,올림픽 골프장,경기,고양시,경기도 고양시 덕양구 혜음로 301,경기도 고양시 덕양구 혜음로 301,public_data
gc-41b5c15f44da,일산스프링힐스 컨트리클럽,경기,고양시,경기도 고양시 일산동구 산황로 108,경기도 고양시 일산동구 산황로 108,public_data
gc-1faa083d0616,한양파인컨트리클럽,경기,고양시,경기도 고양시 덕양구 고양대로 1591,경기도 고양시 덕양구 고양대로 1591,public_data
gc-210de13c89f8,남서울컨트리클럽,경기,성남시,경기도 성남시 분당구 판교백현로 161,경기도 성남시 분당구 판교백현로 161,public_data
gc-4731f8c98a6d,리베라컨트리클럽,경기,화성시,경기도 화성시 중리길 183,경기도 화성시 중리길 183,public_data
gc-7701abd77260,기흥컨트리클럽,경기,화성시,경기도 화성시 풀무골로106번길 244,경기도 화성시 풀무골로106번길 244,public_data
gc-ccb45b4f27e1,발리오스컨트리클럽(회원제),경기,화성시,경기도 화성시 팔탄면 3.1만세로 641-28,경기도 화성시 팔탄면 3.1만세로 641-28,public_data
gc-2db2d6cad688,발리오스컨트리클럽(비회원제),경기,화성시,경기도 화성시 팔탄면 3.1만세로 641-28,경기도 화성시 팔탄면 3.1만세로 641-28,public_data
gc-ee03e5ddbe9f,라비돌컨트리클럽,경기,화성시,경기도 화성시 정남면 세자로 286,경기도 화성시 정남면 세자로 286,public_data
gc-4905c6ca9b75,화성 상록G.C,경기,화성시,경기도 화성시 풀무골로60번길 80,경기도 화성시 풀무골로60번길 80,public_data
gc-5ec5b76d3c22,화성골프클럽,경기,화성시,경기도 화성시 남양읍 화성로 1393-27,경기도 화성시 남양읍 화성로 1393-27,public_data
gc-c77232b99bd6,링크나인골프클럽,경기,화성시,경기도 화성시 마도면 해운로630번길 49,경기도 화성시 마도면 해운로630번길 49,public_data
gc-24a9087d99d6,양주 컨트리클럽,경기,남양주시,경기도 남양주시 화도읍 북한강로 1525-52,경기도 남양주시 화도읍 북한강로 1525-52,public_data
gc-73a2a3982c35,광릉CC(회원제),경기,남양주시,경기도 남양주시 진접읍 팔야로 280,경기도 남양주시 진접읍 팔야로 280,public_data
gc-66517960c8f8,광릉CC(비회원제),경기,남양주시,경기도 남양주시 진접읍 팔야로 280,경기도 남양주시 진접읍 팔야로 280,public_data
gc-7471c8142b1e,비전힐스CC,경기,남양주시,경기도 남양주시 화도읍 마치로 226-220,경기도 남양주시 화도읍 마치로 226-220,public_data
gc-01a5e4501db9,해비치 컨트리클럽,경기,남양주시,경기도 남양주시 화도읍 재재기로 190번길 160,경기도 남양주시 화도읍 재재기로 190번길 160,public_data
gc-29fa36946d15,남양주CC,경기,남양주시,경기도 남양주시 오남읍 진건오남로 516-31,경기도 남양주시 오남읍 진건오남로 516-31,public_data
gc-63e74643a178,더헤븐 컨트리클럽,경기,안산시,경기도 안산시 단원구 대선로466(대부남동),경기도 안산시 단원구 대선로466(대부남동),public_data
gc-5e74f5c1f4b5,제일컨트리클럽,경기,안산시,경기도 안산시 상록구 태마당로28(부곡동),경기도 안산시 상록구 태마당로28(부곡동),public_data
gc-df2b984b36c9,솔트베이 골프클럽,경기,시흥시,경기도 시흥시 마유로 987 (장곡동),경기도 시흥시 마유로 987 (장곡동),public_data
gc-d5533edff8e8,아세코밸리골프클럽,경기,시흥시,경기도 시흥시 마전로 307 (거모동),경기도 시흥시 마전로 307 (거모동),public_data
gc-a68be6870289,김포SEASIDE 컨트리클럽,경기,김포시,경기도 김포시 월곶면 김포대로 2081번길 219,경기도 김포시 월곶면 김포대로 2081번길 219,public_data
gc-962dc7cafd46,서서울 컨트리클럽,경기,파주시,경기도 파주시 광탄면 혜음로 324,경기도 파주시 광탄면 혜음로 324,public_data
gc-0ab02fc6c813,서원밸리 골프장,경기,파주시,경기도 파주시 광탄면 서원길 333,경기도 파주시 광탄면 서원길 333,public_data
gc-fabeaa53a815,서원힐스 골프장,경기,파주시,경기도 파주시 광탄면 서원길 333,경기도 파주시 광탄면 서원길 333,public_data
gc-81becbdb274e,파주 J-Public 골프장,경기,파주시,경기도 파주시 조리읍 장곡로 100,경기도 파주시 조리읍 장곡로 100,public_data
gc-34f4d067cfc2,파주컨트리클럽,경기,파주시,경기도 파주시 법원읍 화합로 306,경기도 파주시 법원읍 화합로 306,public_data
gc-fb2e8a3b34d8,베스트밸리 골프클럽,경기,파주시,경기도 파주시 광탄면 장지산로200번길 32-41,경기도 파주시 광탄면 장지산로200번길 32-41,public_data
gc-d5cd483c8c94,노스팜 컨트리클럽,경기,파주시,경기도 파주시 광탄면 쇠장이길 265,경기도 파주시 광탄면 쇠장이길 265,public_data
gc-d0e431ff250c,스마트KU 골프 파빌리온,경기,파주시,경기도 파주시 법원읍 보광로 1616,경기도 파주시 법원읍 보광로 1616,public_data
gc-9eb46dae9c9d,타이거CC 골프장,경기,파주시,경기도 파주시 법원읍 술이홀로 1803,경기도 파주시 법원읍 술이홀로 1803,public_data
gc-e04bb1d7bba9,남촌컨트리클럽,경기,광주시,경기도 광주시 곤지암읍 부항길 135-38,경기도 광주시 곤지암읍 부항길 135-38,public_data
gc-b37c66474de6,이스트밸리CC,경기,광주시,경기도 광주시 곤지암읍 건업길 195,경기도 광주시 곤지암읍 건업길 195,public_data
gc-bed5fc0dc1f2,그린힐 컨트리클럽,경기,광주시,경기도 광주시 곤지암읍 내선길 176,경기도 광주시 곤지암읍 내선길 176,public_data
gc-2fa514959418,강남300 컨트리클럽,경기,광주시,경기도 광주시 새말길 353(목동),경기도 광주시 새말길 353(목동),public_data
gc-4cbc2f4feecc,로제비앙GC,경기,광주시,경기도 광주시 곤지암읍 오항길 180,경기도 광주시 곤지암읍 오항길 180,public_data
gc-14e8979016a9,곤지암GC,경기,광주시,경기도 광주시 도척면 도척윗로 280,경기도 광주시 도척면 도척윗로 280,public_data
gc-f28133275bb9,중부컨트리클럽,경기,광주시,경기도 광주시 곤지암읍 경충대로 451,경기도 광주시 곤지암읍 경충대로 451,public_data
gc-3c54aee76615,뉴서울컨트리클럽,경기,광주시,경기도 광주시 삼지곡길 95(삼동),경기도 광주시 삼지곡길 95(삼동),public_data
gc-3e570fca0614,캐슬렉스골프클럽,경기,하남시,경기도 하남시 감이로 317(감이동),경기도 하남시 감이로 317(감이동),public_data
gc-9944c1872c71,안양컨트리클럽,경기,군포시,경기도 군포시 군포로364(부곡동),경기도 군포시 군포로364(부곡동),public_data
gc-f2cf5d51eba9,레이크우드 골프장(회원제),경기,양주시,경기도 양주시 만송로 244,경기도 양주시 만송로 244,public_data
gc-310ce4be2e54,레이크우드 골프장(비회원제),경기,양주시,경기도 양주시 만송로 244,경기도 양주시 만송로 244,public_data
gc-9bb0cbe01084,송추 컨트리클럽,경기,양주시,경기도 양주시 광적면 쇠장이길 435,경기도 양주시 광적면 쇠장이길 435,public_data
gc-82563fee9804,에이치원 클럽,경기,이천시,경기도 이천시 호법면 장자터로 115,경기도 이천시 호법면 장자터로 115,public_data
gc-eb40a22304aa,뉴스프링빌골프장,경기,이천시,경기도 이천시 모가면 사실로 527번길 158,경기도 이천시 모가면 사실로 527번길 158,public_data
gc-9b37cfc9caa8,뉴스프링빌골프장(대중형),경기,이천시,경기도 이천시 모가면 사실로 527번길 158,경기도 이천시 모가면 사실로 527번길 158,public_data
gc-bcdfbfe815c7,비에이비스타골프장(회원),경기,이천시,경기도 이천시 모가면 어농로 272,경기도 이천시 모가면 어농로 272,public_data
gc-2f2cc6b9afe3,비에이비스타컨트리클럽(비회원),경기,이천시,경기도 이천시 모가면 어농로 272,경기도 이천시 모가면 어농로 272,public_data
gc-b046571c4182,더반 골프클럽,경기,이천시,경기도 이천시 대월면 대월로 627-141,경기도 이천시 대월면 대월로 627-141,public_data
gc-06bb9165507c,사우스스프링스C.C,경기,이천시,경기도 이천시 모가면 공원로 64,경기도 이천시 모가면 공원로 64,public_data
gc-014659dabae9,블랙스톤골프장(회원제),경기,이천시,경기도 이천시 장호원읍 장여로 459-160,경기도 이천시 장호원읍 장여로 459-160,public_data
gc-9de1c40fef77,블랙스톤골프장(대중형),경기,이천시,경기도 이천시 장호원읍 장여로 459-160,경기도 이천시 장호원읍 장여로 459-160,public_data
gc-403c1dbe574a,이천실크밸리골프클럽,경기,이천시,경기도 이천시 율면 임오산로 296,경기도 이천시 율면 임오산로 296,public_data
gc-fde386e28664,마이다스레이크 이천 골프&리조트,경기,이천시,경기도 이천시 설성면 설가로 602,경기도 이천시 설성면 설가로 602,public_data
gc-085e92730123,웰링턴컨트리클럽,경기,이천시,경기도 이천시 모가면 사실로 725번길 119-73,경기도 이천시 모가면 사실로 725번길 119-73,public_data
gc-d76bd69feda5,더크로스비골프클럽,경기,이천시,경기도 이천시 호법면 중부대로798번길 177,경기도 이천시 호법면 중부대로798번길 177,public_data
gc-cd449267e87f,파인크리크C.C,경기,안성시,경기도 안성시 양성면 안성맞춤대로 2417-13,경기도 안성시 양성면 안성맞춤대로 2417-13,public_data
gc-152613ee89f3,골프클럽Q,경기,안성시,경기도 안성시 죽산면 장계길 20-229,경기도 안성시 죽산면 장계길 20-229,public_data
gc-0151ec2b5b3a,마에스트로 CC,경기,안성시,경기도 안성시 양성면 안성맞춤대로 2134-36,경기도 안성시 양성면 안성맞춤대로 2134-36,public_data
gc-adc16ee54b54,안성컨트리클럽,경기,안성시,경기도 안성시 죽산면 걸미로 487,경기도 안성시 죽산면 걸미로 487,public_data
gc-2e3210c9d979,안성베네스트G.C,경기,안성시,경기도 안성시 금광면 삼흥로 660,경기도 안성시 금광면 삼흥로 660,public_data
gc-8f72ace0d89a,안성베네스트골프클럽 일반대중홀,경기,안성시,경기도 안성시 금광면 삼흥로 660,경기도 안성시 금광면 삼흥로 660,public_data
gc-2c8ffe1e182d,신안컨트리클럽,경기,안성시,경기도 안성시 고삼면 개울말길 149,경기도 안성시 고삼면 개울말길 149,public_data
gc-2c90528d411e,신안 퍼블릭 CC,경기,안성시,경기도 안성시 고삼면 개울말길 149,경기도 안성시 고삼면 개울말길 149,public_data
gc-a026faeee8ac,윈체스트 골프클럽 대중,경기,안성시,경기도 안성시 서운면 오촌길 97-31,경기도 안성시 서운면 오촌길 97-31,public_data
gc-5062dbcbfa1c,포웰CC 안성,경기,안성시,경기도 안성시 양성면 약산길 67-6,경기도 안성시 양성면 약산길 67-6,public_data
gc-16fca0551d98,한림안성,경기,안성시,경기도 안성시 양성면 양성로 349-61,경기도 안성시 양성면 양성로 349-61,public_data
gc-5495f8d48bf7,에덴블루 컨트리클럽,경기,안성시,경기도 안성시 죽산면 녹배길 175,경기도 안성시 죽산면 녹배길 175,public_data
gc-1f3e33adbac2,이글몬트CC,경기,안성시,경기도 안성시 보개면 보삼로 106,경기도 안성시 보개면 보삼로 106,public_data
